age_width	eta	age	age_years	age_rate	rem_rate	den	den_norm
1	14.6	0.000130463144161774	0	0	0.0684931506849315	0.0686236138290933	0.00190114068441065	0.00201592636838113
2	14.6	0.000130463144161774	14.6	0.04	0.0684931506849315	0.0686236138290933	0.00189752634850872	0.00201209380874543
3	14.6	0.000130463144161774	29.2	0.08	0.0684931506849315	0.0686236138290933	0.00189391888396783	0.00200826853534477
4	14.6	0.000130463144161774	43.8	0.12	0.0684931506849315	0.0686236138290933	0.00189031827772455	0.00200445053432701
5	14.6	0.000130463144161774	58.4	0.16	0.0684931506849315	0.0686236138290933	0.00188672451674028	0.00200063979186631
6	14.6	0.000130463144161774	73	0.2	0.0684931506849315	0.0686236138290933	0.00188313758800123	0.00199683629416314
7	14.6	0.000130463144161774	87.6	0.24	0.0684931506849315	0.0686236138290933	0.00187955747851834	0.0019930400274442
8	14.6	0.000130463144161774	102.2	0.28	0.0684931506849315	0.0686236138290933	0.00187598417532724	0.00198925097796237
9	14.6	0.000130463144161774	116.8	0.32	0.0684931506849315	0.0686236138290933	0.00187241766548822	0.00198546913199666
10	14.6	0.000130463144161774	131.4	0.36	0.0684931506849315	0.0686236138290933	0.00186885793608615	0.00198169447585218
11	14.6	0.000130463144161774	146	0.4	0.0684931506849315	0.0686236138290933	0.00186530497423047	0.00197792699586006
12	14.6	0.000130463144161774	160.6	0.44	0.0684931506849315	0.0686236138290933	0.00186175876705513	0.00197416667837744
13	14.6	0.000130463144161774	175.2	0.48	0.0684931506849315	0.0686236138290933	0.00185821930171852	0.00197041350978737
14	14.6	0.000130463144161774	189.8	0.52	0.0684931506849315	0.0686236138290933	0.00185468656540346	0.0019666674764988
15	14.6	0.000130463144161774	204.4	0.56	0.0684931506849315	0.0686236138290933	0.00185116054531715	0.00196292856494652
16	14.6	0.000130463144161774	219	0.6	0.0684931506849315	0.0686236138290933	0.00184764122869107	0.00195919676159111
17	14.6	0.000130463144161774	233.6	0.64	0.0684931506849315	0.0686236138290933	0.00184412860278101	0.00195547205291888
18	14.6	0.000130463144161774	248.2	0.68	0.0684931506849315	0.0686236138290933	0.00184062265486698	0.00195175442544185
19	14.6	0.000130463144161774	262.8	0.72	0.0684931506849315	0.0686236138290933	0.00183712337225316	0.00194804386569766
20	14.6	0.000130463144161774	277.4	0.76	0.0684931506849315	0.0686236138290933	0.00183363074226789	0.00194434036024957
21	14.6	0.000130463144161774	292	0.8	0.0684931506849315	0.0686236138290933	0.00183014475226358	0.00194064389568636
22	14.6	0.000130463144161774	306.6	0.84	0.0684931506849315	0.0686236138290933	0.00182666538961669	0.00193695445862231
23	14.6	0.000130463144161774	321.2	0.88	0.0684931506849315	0.0686236138290933	0.00182319264172768	0.00193327203569718
24	14.6	0.000130463144161774	335.8	0.92	0.0684931506849315	0.0686236138290933	0.00181972649602098	0.00192959661357608
25	14.6	0.000130463144161774	350.4	0.96	0.0684931506849315	0.0686236138290933	0.00181626693994489	0.00192592817894951
26	18.25	0.000130463144161774	365	1	0.0547945205479452	0.054924983692107	0.00226494095836358	0.00240169190961637
27	18.25	0.000130463144161774	383.25	1.05	0.0547945205479452	0.054924983692107	0.00225956105109906	0.00239598717823961
28	18.25	0.000130463144161774	401.5	1.1	0.0547945205479452	0.054924983692107	0.00225419392271165	0.00239029599729367
29	18.25	0.000130463144161774	419.75	1.15	0.0547945205479452	0.054924983692107	0.00224883954284773	0.00238461833459226
30	18.25	0.000130463144161774	438	1.2	0.0547945205479452	0.054924983692107	0.00224349788122576	0.00237895415802553
31	18.25	0.000130463144161774	456.25	1.25	0.0547945205479452	0.054924983692107	0.00223816890763615	0.00237330343555991
32	18.25	0.000130463144161774	474.5	1.3	0.0547945205479452	0.054924983692107	0.00223285259194105	0.00236766613523792
33	18.25	0.000130463144161774	492.75	1.35	0.0547945205479452	0.054924983692107	0.00222754890407421	0.00236204222517797
34	18.25	0.000130463144161774	511	1.4	0.0547945205479452	0.054924983692107	0.00222225781404078	0.00235643167357422
35	18.25	0.000130463144161774	529.25	1.45	0.0547945205479452	0.054924983692107	0.00221697929191717	0.00235083444869637
36	18.25	0.000130463144161774	547.5	1.5	0.0547945205479452	0.054924983692107	0.00221171330785085	0.00234525051888949
37	18.25	0.000130463144161774	565.75	1.55	0.0547945205479452	0.054924983692107	0.00220645983206023	0.00233967985257384
38	18.25	0.000130463144161774	584	1.6	0.0547945205479452	0.054924983692107	0.00220121883483444	0.00233412241824469
39	18.25	0.000130463144161774	602.25	1.65	0.0547945205479452	0.054924983692107	0.00219599028653317	0.00232857818447214
40	18.25	0.000130463144161774	620.5	1.7	0.0547945205479452	0.054924983692107	0.00219077415758653	0.00232304711990094
41	18.25	0.000130463144161774	638.75	1.75	0.0547945205479452	0.054924983692107	0.00218557041849488	0.00231752919325035
42	18.25	0.000130463144161774	657	1.8	0.0547945205479452	0.054924983692107	0.00218037903982862	0.00231202437331388
43	18.25	0.000130463144161774	675.25	1.85	0.0547945205479452	0.054924983692107	0.00217519999222808	0.00230653262895922
44	18.25	0.000130463144161774	693.5	1.9	0.0547945205479452	0.054924983692107	0.00217003324640331	0.00230105392912796
45	18.25	0.000130463144161774	711.75	1.95	0.0547945205479452	0.054924983692107	0.00216487877313394	0.0022955882428355
46	24.333333455	0.000130463144161774	730	2	0.0410958902054795	0.0412263533496412	0.0028773705355953	0.0030510983126468
47	24.33333309	0.000130463144161774	754.333333455	2.066666667	0.0410958908219178	0.0412263539660796	0.00286826488970134	0.00304144289271429
